 ,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
3970,BH,0,2,0.166667 , hypergeometric.ga,comp,9,92,992
3971,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,92,992
3972, BH , 0.263158,19,0.875 , simes,self,9,93,993
3973,Bonferroni,0,10,0.625 , simes,self,9,93,993
3974,BH,0,2,0.166667 , hypergeometric.ga,comp,9,93,993
3975,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,93,993
3976, BH , 0.166667,18,0.9375 , simes,self,9,94,994
3977,Bonferroni,0,4,0.25 , simes,self,9,94,994
3978,BH,0,1,0.0833333 , hypergeometric.ga,comp,9,94,994
3979,Bonferroni,0,1,0.0833333 , hypergeometric.ga,comp,9,94,994
3980, BH , 0.142857,14,0.75 , simes,self,9,95,995
3981,Bonferroni,0,8,0.5 , simes,self,9,95,995
3982,BH,0,2,0.166667 , hypergeometric.ga,comp,9,95,995
3983,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,95,995
3984, BH , 0,13,0.8125 , simes,self,9,96,996
3985,Bonferroni,0,11,0.6875 , simes,self,9,96,996
3986,BH,0,2,0.166667 , hypergeometric.ga,comp,9,96,996
3987,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,96,996
3988, BH , 0.210526,19,0.9375 , simes,self,9,97,997
3989,Bonferroni,0,10,0.625 , simes,self,9,97,997
3990,BH,0,2,0.166667 , hypergeometric.ga,comp,9,97,997
3991,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,97,997
3992, BH , 0.0769231,13,0.75 , simes,self,9,98,998
3993,Bonferroni,0,9,0.5625 , simes,self,9,98,998
3994,BH,0,2,0.166667 , hypergeometric.ga,comp,9,98,998
3995,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,98,998
3996, BH , 0,15,0.9375 , simes,self,9,99,999
3997,Bonferroni,0,11,0.6875 , simes,self,9,99,999
3998,BH,0,2,0.166667 , hypergeometric.ga,comp,9,99,999
3999,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,9,99,999
4000, BH , 0,14,0.875 , simes,self,10,0,1000
4001,Bonferroni,0,14,0.875 , simes,self,10,0,1000
4002,BH,0,2,0.166667 , hypergeometric.ga,comp,10,0,1000
4003,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,0,1000
4004, BH , 0,16,1 , simes,self,10,1,1001
4005,Bonferroni,0,11,0.6875 , simes,self,10,1,1001
4006,BH,0,2,0.166667 , hypergeometric.ga,comp,10,1,1001
4007,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,1,1001
4008, BH , 0.133333,15,0.8125 , simes,self,10,2,1002
4009,Bonferroni,0.2,10,0.5 , simes,self,10,2,1002
4010,BH,0,2,0.166667 , hypergeometric.ga,comp,10,2,1002
4011,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,2,1002
4012, BH , 0,16,1 , simes,self,10,3,1003
4013,Bonferroni,0,10,0.625 , simes,self,10,3,1003
4014,BH,0,2,0.166667 , hypergeometric.ga,comp,10,3,1003
4015,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,3,1003
4016, BH , 0,15,0.9375 , simes,self,10,4,1004
4017,Bonferroni,0,14,0.875 , simes,self,10,4,1004
4018,BH,0,2,0.166667 , hypergeometric.ga,comp,10,4,1004
4019,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,4,1004
4020, BH , 0,16,1 , simes,self,10,5,1005
4021,Bonferroni,0,14,0.875 , simes,self,10,5,1005
4022,BH,0,2,0.166667 , hypergeometric.ga,comp,10,5,1005
4023,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,5,1005
4024, BH , 0,9,0.5625 , simes,self,10,6,1006
4025,Bonferroni,0,7,0.4375 , simes,self,10,6,1006
4026,BH,0,2,0.166667 , hypergeometric.ga,comp,10,6,1006
4027,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,6,1006
4028, BH , 0,16,1 , simes,self,10,7,1007
4029,Bonferroni,0,11,0.6875 , simes,self,10,7,1007
4030,BH,0,2,0.166667 , hypergeometric.ga,comp,10,7,1007
4031,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,7,1007
4032, BH , 0,16,1 , simes,self,10,8,1008
4033,Bonferroni,0,16,1 , simes,self,10,8,1008
4034,BH,0,2,0.166667 , hypergeometric.ga,comp,10,8,1008
4035,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,8,1008
4036, BH , 0.294118,17,0.75 , simes,self,10,9,1009
4037,Bonferroni,0.214286,14,0.6875 , simes,self,10,9,1009
4038,BH,0,2,0.166667 , hypergeometric.ga,comp,10,9,1009
4039,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,9,1009
4040, BH , 0,16,1 , simes,self,10,10,1010
4041,Bonferroni,0,15,0.9375 , simes,self,10,10,1010
4042,BH,0,2,0.166667 , hypergeometric.ga,comp,10,10,1010
4043,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,10,1010
4044, BH , 0,16,1 , simes,self,10,11,1011
4045,Bonferroni,0,16,1 , simes,self,10,11,1011
4046,BH,0,2,0.166667 , hypergeometric.ga,comp,10,11,1011
4047,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,11,1011
4048, BH , 0,16,1 , simes,self,10,12,1012
4049,Bonferroni,0,16,1 , simes,self,10,12,1012
4050,BH,0,2,0.166667 , hypergeometric.ga,comp,10,12,1012
4051,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,12,1012
4052, BH , 0,13,0.8125 , simes,self,10,13,1013
4053,Bonferroni,0,12,0.75 , simes,self,10,13,1013
4054,BH,0,2,0.166667 , hypergeometric.ga,comp,10,13,1013
4055,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,13,1013
4056, BH , 0.384615,26,1 , simes,self,10,14,1014
4057,Bonferroni,0.111111,18,1 , simes,self,10,14,1014
4058,BH,0,2,0.166667 , hypergeometric.ga,comp,10,14,1014
4059,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,14,1014
4060, BH , 0,16,1 , simes,self,10,15,1015
4061,Bonferroni,0,13,0.8125 , simes,self,10,15,1015
4062,BH,0,2,0.166667 , hypergeometric.ga,comp,10,15,1015
4063,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,10,15,1015
